FIPS,State,Area_Name,Type
0,US,United States,country
1000,AL,Alabama,state
1001,AL,Autauga County,state
1003,AL,Baldwin County,state
1005,AL,Barbour County,state
1007,AL,Bibb County,state
1009,AL,Blount County,state
1011,AL,Bullock County,state
1013,AL,Butler County,state
1015,AL,Calhoun County,state
1017,AL,Chambers County,state
1019,AL,Cherokee County,state
1021,AL,Chilton County,state
1023,AL,Choctaw County,state
1025,AL,Clarke County,state
1027,AL,Clay County,state
1029,AL,Cleburne County,state
1031,AL,Coffee County,state
1033,AL,Colbert County,state
1035,AL,Conecuh County,state
1037,AL,Coosa County,state
1039,AL,Covington County,state
1041,AL,Crenshaw County,state
1043,AL,Cullman County,state
1045,AL,Dale County,state
1047,AL,Dallas County,state
1049,AL,DeKalb County,state
1051,AL,Elmore County,state
1053,AL,Escambia County,state
1055,AL,Etowah County,state
1057,AL,Fayette County,state
1059,AL,Franklin County,state
1061,AL,Geneva County,state
1063,AL,Greene County,state
1065,AL,Hale County,state
1067,AL,Henry County,state
1069,AL,Houston County,state
1071,AL,Jackson County,state
1073,AL,Jefferson County,state
1075,AL,Lamar County,state
1077,AL,Lauderdale County,state
1079,AL,Lawrence County,state
1081,AL,Lee County,state
1083,AL,Limestone County,state
1085,AL,Lowndes County,state
1087,AL,Macon County,state
1089,AL,Madison County,state
1091,AL,Marengo County,state
1093,AL,Marion County,state
1095,AL,Marshall County,state
1097,AL,Mobile County,state
1099,AL,Monroe County,state
1101,AL,Montgomery County,state
1103,AL,Morgan County,state
1105,AL,Perry County,state
1107,AL,Pickens County,state
1109,AL,Pike County,state
1111,AL,Randolph County,state
1113,AL,Russell County,state
1115,AL,St. Clair County,state
1117,AL,Shelby County,state
1119,AL,Sumter County,state
1121,AL,Talladega County,state
1123,AL,Tallapoosa County,state
1125,AL,Tuscaloosa County,state
1127,AL,Walker County,state
1129,AL,Washington County,state
1131,AL,Wilcox County,state
1133,AL,Winston County,state
2000,AK,Alaska,state
2010,AK,Aleutian Islands,state
2013,AK,Aleutians East Borough,state
2016,AK,Aleutians West Census Area,state
2020,AK,Anchorage Municipality,state
2050,AK,Bethel Census Area,state
2060,AK,Bristol Bay Borough,state
2063,AK,"Chugach Census Area, Alaska",state
2066,AK,"Copper River Census Area, Alaska",state
2068,AK,Denali Borough,state
2070,AK,Dillingham Census Area,state
2090,AK,Fairbanks North Star Borough,state
2100,AK,Haines Borough,state
2105,AK,Hoonah-Angoon Census Area,state
2110,AK,Juneau City and Borough,state
2122,AK,Kenai Peninsula Borough,state
2130,AK,Ketchikan Gateway Borough,state
2150,AK,Kodiak Island Borough,state
2158,AK,Kusilvak Census Area,state
2160,AK,Kuskokwim Division,state
2164,AK,Lake and Peninsula Borough,state
